Driver,h0_exp,R2_exp,RMSE_exp,logL_exp,AIC_exp,BIC_exp,a_lin,R2_lin,RMSE_lin,logL_lin,AIC_lin,BIC_lin,Age,Gender,DayNight,dRMSE,dAIC,dBIC,winner_AIC,AIC_strength
11,3.65846717196906,-1.4339412171227,0.149694681020577,3754.83225081301,-7507.66450162603,-7500.7001896779,-0.154965011940345,-3.83460923822136,0.210975495406928,1071.78750588775,-2141.5750117755,-2134.61069982737,A,M,D,0.0612808143863509,5366.08948985053,5366.08948985053,exp,>10 (strong)
12,3.94334589623106,-0.505602877933423,0.159061924660836,4300.11235005237,-8598.22470010474,-8590.98966712017,-0.157147216671326,-1.40449494437122,0.201012446412063,1900.86165117118,-3799.72330234235,-3792.48826935779,A,M,D,0.0419505217512265,4798.50139776239,4798.50139776239,exp,>10 (strong)
13,4.66209144941101,-0.481531283615025,0.170056221766278,2651.85841876708,-5301.71683753416,-5294.79164910478,-0.126401850988285,-1.41716922414748,0.217215414209011,811.504559825951,-1621.0091196519,-1614.08393122252,A,M,D,0.0471591924427322,3680.70771788226,3680.70771788226,exp,>10 (strong)
14,5.26315664249248,0.0893220631012505,0.183444320520495,640.759453652583,-1279.51890730517,-1273.77217439741,-0.122838807281554,-0.147365972136475,0.205907822444342,373.452158255786,-744.904316511572,-739.157583603819,B,M,D,0.0224635019238472,534.614590793593,534.614590793593,exp,>10 (strong)
15,4.06288193182079,-1.68178548271455,0.22228706132549,287.716618390274,-573.433236780547,-567.304356638421,-0.131707156560573,-3.20880178864276,0.278471916266555,-476.437091216325,954.87418243265,961.003062574776,B,M,D,0.0561848549410651,1528.3074192132,1528.3074192132,exp,>10 (strong)
16,3.50859275406212,-0.97137518814063,0.186977690336274,594.550074459968,-1187.10014891994,-1181.35687921911,-0.151206710978465,-2.76612586116508,0.258435733431704,-151.804680665592,305.609361331184,311.352631032013,B,M,D,0.0714580430954303,1492.70951025112,1492.70951025112,exp,>10 (strong)
17,3.84625360083541,0.485390815517973,0.12990710910935,2924.63034559773,-5847.26069119546,-5840.80494796636,-0.1395904827568,-0.0873602547146024,0.188834298431342,1165.84605646773,-2329.69211293546,-2323.23636970636,B,M,D,0.058927189321992,3517.56857826001,3517.56857826001,exp,>10 (strong)
18,4.16374792660383,-0.437418601187497,0.172577541638658,1355.93601537311,-2709.87203074622,-2703.57498559714,-0.128572595608005,-1.65018247246269,0.234331426627005,128.706080932247,-255.412161864493,-249.115116715411,A,M,D,0.0617538849883464,2454.45986888173,2454.45986888173,exp,>10 (strong)
19,3.91364594778166,-0.842349741755272,0.232549133413205,89.994680742962,-177.989361485924,-172.263590044336,-0.141060764015417,-1.68941183128899,0.280968311858673,-338.597385393246,679.194770786493,684.920542228081,B,M,D,0.0484191784454676,857.184132272417,857.184132272417,exp,>10 (strong)
20,3.44399858362469,-0.490332462754262,0.183435743550635,1384.76155496671,-2767.52310993342,-2761.005916742,-0.169832251690359,-1.36240101672,0.230950652804816,233.06341149075,-464.126822981501,-457.609629790085,A,F,D,0.0475149092541813,2303.39628695192,2303.39628695192,exp,>10 (strong)
21,2.85380835728666,-0.530749272151011,0.236190036057936,96.3090485289222,-190.618097057844,-184.328306474663,-0.141982689226772,-2.02468170232328,0.332008636579286,-1259.99909435271,2521.99818870542,2528.28797928861,A,F,D,0.09581860052135,2712.61628576327,2712.61628576327,exp,>10 (strong)
22,3.97168421565399,-0.278491697547694,0.174670671763399,1652.38611165256,-3302.77222330513,-3296.24112720854,-0.134710296521981,-1.50828603857421,0.244658080935747,-55.9976531904437,113.995306380887,120.526402477473,A,F,D,0.0699874091723473,3416.76752968601,3416.76752968601,exp,>10 (strong)
